episode_index,program_no,season_no,episode_no,episode_name,episode_detail,video_length,publication_at,viewers
1,1,1,1,感動のはじまり,ドラマ「シェフの花園」の第1シーズン第1話。物語のはじまりにして感動のスタート。,00:45:30,2023-10-01,120000
2,1,2,2,新たな展開,ドラマ「シェフの花園」の第2シーズン第2話。新たな展開が待っている。,00:42:20,2023-10-08,110000
3,2,\N,\N,クイズバトル「知識王」,クイズタイム「知識王」の特別番組。知識と勝負するクイズバトルが繰り広げられる。,00:40:30,2023-10-09,92000
4,3,1,1,イントロダクション,番組の冒頭を飾る音楽を紹介します。,00:30:00,2023-11-01 19:00:00,500000
5,3,1,2,ライブエクスペリエンス,臨場感あふれるライブ演奏をお届けします。,00:45:00,2023-11-08 19:00:00,600000
6,4,1,7,笑いのスタート,コメディ「笑いの種」の第1シーズン第7話。笑いのスタートを切る。,00:28:45,2023-10-04,80000
7,4,2,8,ハプニング大騒動,コメディ「笑いの種」の第2シーズン第8話。ハプニング大騒動！,00:33:20,2023-10-11,85000
8,5,1,9,未知なる世界,ドキュメンタリー「未知なる世界へ」の第1シーズン第9話。未知なる世界への冒険。,00:50:05,2023-10-05,95000
9,5,1,10,驚きの瞬間,ドキュメンタリー「未知なる世界へ」の第1シーズン第10話。驚きの瞬間が満載。,00:55:30,2023-10-12,98000
10,6,1,11,シェフバトル開幕,料理バトル「シェフの激闘」の第1シーズン第11話。シェフバトル開幕！,00:48:20,2023-10-06,87000
11,6,2,12,プロシェフの舞台裏,料理バトル「シェフの激闘」の第2シーズン第12話。プロシェフの舞台裏。,00:42:55,2023-10-13,91000
12,7,1,13,笑いと元気,バラエティ「元気が出るテレビ」の第1シーズン第13話。笑いと元気が満載。,00:37:40,2023-10-07,92000
13,7,1,14,芸能人大集合,バラエティ「元気が出るテレビ」の第1シーズン第14話。芸能人大集合。,00:45:15,2023-10-14,97000
14,8,1,15,夢の音色,音楽ライブ「夢の音色」の第1シーズン第15話。美しい音楽に包まれる夜。,00:50:30,2023-10-08,105000
15,8,2,16,感動のフィナーレ,音楽ライブ「夢の音色」の第2シーズン第16話。感動のフィナーレ。,01:00:00,2023-10-15,115000
16,9,1,17,裏切りの影,サスペンスドラマ「裏切りの影」の第1シーズン第17話。緊迫感満点のストーリー。,00:45:20,2023-10-09,99000
17,9,2,18,影の陰謀,サスペンスドラマ「裏切りの影」の第2シーズン第18話。影の陰謀が明らかに。,00:48:45,2023-10-16,102000
18,10,1,19,ぶっちゃけトーク開幕,トークショー「ぶっちゃけトーク」の第1シーズン第19話。率直なトークが繰り広げられる。,00:35:10,2023-10-10,92000
19,10,2,20,トークバトル,トークショー「ぶっちゃけトーク」の第2シーズン第20話。トークのバトルが勃発。,00:38:25,2023-10-17,95000
20,11,1,21,バスケットボール熱戦,スポーツ「熱血バスケット」の第1シーズン第21話。熱いバスケットボールの熱戦。,00:42:50,2023-10-11,88000
21,11,2,22,最終決戦,スポーツ「熱血バスケット」の第2シーズン第22話。シリーズの最終決戦。,00:50:15,2023-10-18,92000
22,12,1,23,夢幻の冒険,アニメ「夢幻の世界」の第1シーズン第23話。美しい世界で繰り広げられる冒険。,00:28:30,2023-10-12,85000
23,12,1,24,絆の力,アニメ「夢幻の世界」の第1シーズン第24話。絆の力が試される。,00:32:10,2023-10-19,90000
24,13,1,25,美しい地球,自然番組「美しい地球」の第1シーズン第25話。美しい自然の風景が広がる。,00:40:45,2023-10-13,92000
25,13,2,26,楽園の発見,自然番組「美しい地球」の第2シーズン第26話。楽園の発見。,00:45:20,2023-10-20,97000
26,14,1,27,世界への扉,トラベル「世界への扉」の第1シーズン第27話。世界各地の魅力が満載。,00:50:30,2023-10-14,105000
27,14,1,28,新たなる冒険,トラベル「世界への扉」の第1シーズン第28話。新たなる冒険が待っている。,00:55:15,2023-10-21,110000
28,15,1,29,恐怖の扉,ホラードラマ「恐怖の扉」の第1シーズン第29話。ハラハラドキドキの恐怖。,00:30:50,2023-10-15,88000
29,15,2,30,怪奇の館,ホラードラマ「恐怖の扉」の第2シーズン第30話。怪奇の館での恐怖体験。,00:38:20,2023-10-22,92000
30,16,1,31,心に響くメロディ,バラードコンサート「心に響くメロディ」の第1シーズン第31話。感動的なメロディが心に響く。,00:55:50,2023-10-16,100000
31,16,2,32,調和のコンサート,バラードコンサート「心に響くメロディ」の第2シーズン第32話。調和の美しいコンサート。,01:00:00,2023-10-23,110000
32,17,1,33,シェフの舞台裏,クッキングショー「シェフの舞台裏」の第1シーズン第33話。シェフたちの真剣勝負。,00:35:30,2023-10-17,95000
33,17,2,34,スイーツバトル,クッキングショー「シェフの舞台裏」の第2シーズン第34話。スイーツの美味しいバトル。,00:40:25,2023-10-24,100000
34,18,1,35,実録・生きていく,ドキュメンタリードラマ「実録・生きていく」の第1シーズン第35話。実録の生き様に迫る。,00:45:10,2023-10-18,98000
35,18,2,36,感動の再会,ドキュメンタリードラマ「実録・生きていく」の第2シーズン第36話。感動の再会が訪れる。,00:50:45,2023-10-25,105000
36,19,1,37,笑いありアクションあり,アクションコメディ「爆笑ヒーロー」の第1シーズン第37話。笑いありアクションありのコメディ。,00:32:15,2023-10-19,90000
37,19,2,38,ヒーローの誕生,アクションコメディ「爆笑ヒーロー」の第2シーズン第38話。ヒーローの誕生。,00:35:30,2023-10-26,95000
38,20,1,39,大団円！笑いと感動の夜,バラエティ「人気者集合」のエピソード39。笑いあり、感動ありの大集結。,01:00:25,2023-10-20,180000
39,20,1,40,豪華ゲストとのトークショー,バラエティ「人気者集合」のエピソード40。豪華ゲストと共に盛り上がる。,00:55:50,2023-10-22,190000
40,21,1,1,教育番組「戦士の系譜」 - 歴史の授業,戦士たちの壮絶な物語。歴史の授業に焦点を当てたエピソード。,00:25:40,2023-10-23,85000
41,21,1,2,教育番組「戦士の系譜」 - 武器と技術,戦士たちの壮絶な物語。武器と技術に焦点を当てたエピソード。,00:28:15,2023-10-30,90000
42,22,1,3,サッカーの饗宴「蹴動の幕開け」Jリーグ開幕戦,Jリーグのシーズン幕開けを飾る激闘。,00:22:50,2023-10-24,120000
43,22,1,4,ライバル対決「激突のクラシコ」Jリーグクラブ対抗戦,Jリーグクラブ同士の熱戦を凝縮。,00:25:35,2023-10-31,115000
44,23,1,5,星々の探求,未知なる星々にまつわる謎に迫るSFアニメ映画のエピソード。,00:30:20,2023-10-25,95000
45,23,1,6,星座の謎解明,新たなる星座の謎が明らかになるSFアニメのエピソード。,00:35:45,2023-11-01,98000
46,24,1,7,冒険者たちの新たな仲間,冒険者たちが新たな仲間と出会うファンタジーアニメのエピソード。,00:40:10,2023-11-02,105000
47,24,1,8,邪悪な敵への挑戦,冒険者たちが邪悪なる敵と対峙するファンタジーアニメのエピソード。,00:45:20,2023-11-03,110000
48,25,1,9,ワールドカップ熱戦の記録,ワールドカップの激戦を振り返るサッカー中継のエピソード。,00:50:30,2023-11-04,120000
49,25,1,10,ノックアウトステージの激闘,ワールドカップのノックアウトステージの熱戦を振り返るエピソード。,00:55:15,2023-11-05,130000
50,26,1,11,科学の奇跡,科学の不思議な世界を学ぶ教育番組のエピソード。,00:28:45,2023-11-06,90000
51,26,1,12,歴史の舞台裏,歴史の舞台裏に迫る教育番組のエピソード。,00:32:30,2023-11-07,95000
52,27,1,13,感動の映画のストーリー,感動的な映画のストーリーに迫る映画のエピソード。,00:38:20,2023-11-08,100000
53,27,1,14,映画製作の舞台裏,感動の映画製作の舞台裏に迫る映画のエピソード。,00:42:45,2023-11-09,105000
54,28,1,15,陰謀の幕開け,裏切りの影に包まれるサスペンスアニメのエピソード。,00:30:50,2023-11-10,88000
55,28,1,16,運命の分かれ道,主人公が運命の分かれ道に立つサスペンスアニメのエピソード。,00:35:25,2023-11-11,92000
56,29,1,17,熱闘甲子園の激闘,熱闘甲子園の準々決勝を熱く伝える野球中継のエピソード。,00:40:10,2023-11-12,95000
57,29,1,18,熱闘甲子園の準決勝戦,熱闘甲子園の準決勝戦の熱戦を伝える野球中継のエピソード。,00:45:20,2023-11-13,98000
58,30,1,19,未知なる敵への挑戦,未来を予知する少女が未知なる敵に立ち向かうSFアニメのエピソード。,00:50:30,2023-11-14,95000
59,30,1,20,運命の結びつき,少女の運命が結びつくSFアニメのエピソード。,00:55:15,2023-11-15,110000
